Output file TC-wise fraction albedo (-)
Year	Day	Timestep	Subbasin	LU	TC	value
2000	1	1	15	1	3	 0.88000E+00
2000	1	1	15	1	2	 0.88000E+00
2000	1	1	15	1	1	 0.88000E+00
2000	1	1	15	2	6	 0.88000E+00
2000	1	1	15	2	5	 0.88000E+00
2000	1	1	15	2	4	 0.88000E+00
2000	1	1	69	1	3	 0.88000E+00
2000	1	1	69	1	2	 0.88000E+00
2000	1	1	69	1	1	 0.88000E+00
2000	1	1	69	2	6	 0.88000E+00
2000	1	1	69	2	5	 0.88000E+00
2000	1	1	69	2	4	 0.88000E+00
2000	2	1	15	1	3	 0.88000E+00
2000	2	1	15	1	2	 0.88000E+00
2000	2	1	15	1	1	 0.88000E+00
2000	2	1	15	2	6	 0.88000E+00
2000	2	1	15	2	5	 0.88000E+00
2000	2	1	15	2	4	 0.88000E+00
2000	2	1	69	1	3	 0.88000E+00
2000	2	1	69	1	2	 0.88000E+00
2000	2	1	69	1	1	 0.88000E+00
2000	2	1	69	2	6	 0.88000E+00
2000	2	1	69	2	5	 0.88000E+00
2000	2	1	69	2	4	 0.88000E+00
2000	3	1	15	1	3	 0.88000E+00
2000	3	1	15	1	2	 0.88000E+00
2000	3	1	15	1	1	 0.88000E+00
2000	3	1	15	2	6	 0.88000E+00
2000	3	1	15	2	5	 0.88000E+00
2000	3	1	15	2	4	 0.88000E+00
2000	3	1	69	1	3	 0.88000E+00
2000	3	1	69	1	2	 0.88000E+00
2000	3	1	69	1	1	 0.88000E+00
2000	3	1	69	2	6	 0.88000E+00
2000	3	1	69	2	5	 0.88000E+00
2000	3	1	69	2	4	 0.88000E+00
2000	4	1	15	1	3	 0.88000E+00
2000	4	1	15	1	2	 0.88000E+00
2000	4	1	15	1	1	 0.88000E+00
2000	4	1	15	2	6	 0.88000E+00
2000	4	1	15	2	5	 0.88000E+00
2000	4	1	15	2	4	 0.88000E+00
2000	4	1	69	1	3	 0.88000E+00
2000	4	1	69	1	2	 0.88000E+00
2000	4	1	69	1	1	 0.88000E+00
2000	4	1	69	2	6	 0.88000E+00
2000	4	1	69	2	5	 0.88000E+00
2000	4	1	69	2	4	 0.88000E+00
2000	5	1	15	1	3	 0.88000E+00
2000	5	1	15	1	2	 0.88000E+00
2000	5	1	15	1	1	 0.88000E+00
2000	5	1	15	2	6	 0.88000E+00
2000	5	1	15	2	5	 0.88000E+00
2000	5	1	15	2	4	 0.88000E+00
2000	5	1	69	1	3	 0.88000E+00
2000	5	1	69	1	2	 0.88000E+00
2000	5	1	69	1	1	 0.88000E+00
2000	5	1	69	2	6	 0.88000E+00
2000	5	1	69	2	5	 0.88000E+00
2000	5	1	69	2	4	 0.88000E+00
2000	6	1	15	1	3	 0.88000E+00
2000	6	1	15	1	2	 0.88000E+00
2000	6	1	15	1	1	 0.88000E+00
2000	6	1	15	2	6	 0.88000E+00
2000	6	1	15	2	5	 0.88000E+00
2000	6	1	15	2	4	 0.88000E+00
2000	6	1	69	1	3	 0.88000E+00
2000	6	1	69	1	2	 0.88000E+00
2000	6	1	69	1	1	 0.88000E+00
2000	6	1	69	2	6	 0.88000E+00
2000	6	1	69	2	5	 0.88000E+00
2000	6	1	69	2	4	 0.88000E+00
2000	7	1	15	1	3	 0.88000E+00
2000	7	1	15	1	2	 0.88000E+00
2000	7	1	15	1	1	 0.88000E+00
2000	7	1	15	2	6	 0.88000E+00
2000	7	1	15	2	5	 0.88000E+00
2000	7	1	15	2	4	 0.88000E+00
2000	7	1	69	1	3	 0.88000E+00
2000	7	1	69	1	2	 0.88000E+00
2000	7	1	69	1	1	 0.88000E+00
2000	7	1	69	2	6	 0.88000E+00
2000	7	1	69	2	5	 0.88000E+00
2000	7	1	69	2	4	 0.88000E+00
2000	8	1	15	1	3	 0.88000E+00
2000	8	1	15	1	2	 0.88000E+00
2000	8	1	15	1	1	 0.88000E+00
2000	8	1	15	2	6	 0.88000E+00
2000	8	1	15	2	5	 0.88000E+00
2000	8	1	15	2	4	 0.88000E+00
2000	8	1	69	1	3	 0.88000E+00
2000	8	1	69	1	2	 0.88000E+00
2000	8	1	69	1	1	 0.88000E+00
2000	8	1	69	2	6	 0.88000E+00
2000	8	1	69	2	5	 0.88000E+00
2000	8	1	69	2	4	 0.88000E+00
2000	9	1	15	1	3	 0.88000E+00
2000	9	1	15	1	2	 0.88000E+00
2000	9	1	15	1	1	 0.88000E+00
2000	9	1	15	2	6	 0.88000E+00
2000	9	1	15	2	5	 0.88000E+00
2000	9	1	15	2	4	 0.88000E+00
2000	9	1	69	1	3	 0.88000E+00
2000	9	1	69	1	2	 0.88000E+00
2000	9	1	69	1	1	 0.88000E+00
2000	9	1	69	2	6	 0.88000E+00
2000	9	1	69	2	5	 0.88000E+00
2000	9	1	69	2	4	 0.88000E+00
2000	10	1	15	1	3	 0.88000E+00
2000	10	1	15	1	2	 0.88000E+00
2000	10	1	15	1	1	 0.88000E+00
2000	10	1	15	2	6	 0.88000E+00
2000	10	1	15	2	5	 0.88000E+00
2000	10	1	15	2	4	 0.88000E+00
2000	10	1	69	1	3	 0.88000E+00
2000	10	1	69	1	2	 0.88000E+00
2000	10	1	69	1	1	 0.88000E+00
2000	10	1	69	2	6	 0.88000E+00
2000	10	1	69	2	5	 0.88000E+00
2000	10	1	69	2	4	 0.88000E+00
2000	11	1	15	1	3	 0.88000E+00
2000	11	1	15	1	2	 0.88000E+00
2000	11	1	15	1	1	 0.88000E+00
2000	11	1	15	2	6	 0.88000E+00
2000	11	1	15	2	5	 0.88000E+00
2000	11	1	15	2	4	 0.88000E+00
2000	11	1	69	1	3	 0.88000E+00
2000	11	1	69	1	2	 0.88000E+00
2000	11	1	69	1	1	 0.88000E+00
2000	11	1	69	2	6	 0.88000E+00
2000	11	1	69	2	5	 0.88000E+00
2000	11	1	69	2	4	 0.88000E+00
2000	12	1	15	1	3	 0.88000E+00
2000	12	1	15	1	2	 0.88000E+00
2000	12	1	15	1	1	 0.88000E+00
2000	12	1	15	2	6	 0.88000E+00
2000	12	1	15	2	5	 0.88000E+00
2000	12	1	15	2	4	 0.88000E+00
2000	12	1	69	1	3	 0.88000E+00
2000	12	1	69	1	2	 0.88000E+00
2000	12	1	69	1	1	 0.88000E+00
2000	12	1	69	2	6	 0.88000E+00
2000	12	1	69	2	5	 0.88000E+00
2000	12	1	69	2	4	 0.88000E+00
2000	13	1	15	1	3	 0.88000E+00
2000	13	1	15	1	2	 0.88000E+00
2000	13	1	15	1	1	 0.88000E+00
2000	13	1	15	2	6	 0.88000E+00
2000	13	1	15	2	5	 0.88000E+00
2000	13	1	15	2	4	 0.88000E+00
2000	13	1	69	1	3	 0.88000E+00
2000	13	1	69	1	2	 0.88000E+00
2000	13	1	69	1	1	 0.88000E+00
2000	13	1	69	2	6	 0.88000E+00
2000	13	1	69	2	5	 0.88000E+00
2000	13	1	69	2	4	 0.88000E+00
2000	14	1	15	1	3	 0.88000E+00
2000	14	1	15	1	2	 0.88000E+00
2000	14	1	15	1	1	 0.88000E+00
2000	14	1	15	2	6	 0.88000E+00
2000	14	1	15	2	5	 0.88000E+00
2000	14	1	15	2	4	 0.88000E+00
2000	14	1	69	1	3	 0.88000E+00
2000	14	1	69	1	2	 0.88000E+00
2000	14	1	69	1	1	 0.88000E+00
2000	14	1	69	2	6	 0.88000E+00
2000	14	1	69	2	5	 0.88000E+00
2000	14	1	69	2	4	 0.88000E+00
2000	15	1	15	1	3	 0.88000E+00
2000	15	1	15	1	2	 0.88000E+00
2000	15	1	15	1	1	 0.88000E+00
2000	15	1	15	2	6	 0.88000E+00
2000	15	1	15	2	5	 0.88000E+00
2000	15	1	15	2	4	 0.88000E+00
2000	15	1	69	1	3	 0.88000E+00
2000	15	1	69	1	2	 0.88000E+00
2000	15	1	69	1	1	 0.88000E+00
2000	15	1	69	2	6	 0.88000E+00
2000	15	1	69	2	5	 0.88000E+00
2000	15	1	69	2	4	 0.88000E+00
2000	16	1	15	1	3	 0.88000E+00
2000	16	1	15	1	2	 0.88000E+00
2000	16	1	15	1	1	 0.88000E+00
2000	16	1	15	2	6	 0.88000E+00
2000	16	1	15	2	5	 0.88000E+00
2000	16	1	15	2	4	 0.88000E+00
2000	16	1	69	1	3	 0.88000E+00
2000	16	1	69	1	2	 0.88000E+00
2000	16	1	69	1	1	 0.88000E+00
2000	16	1	69	2	6	 0.88000E+00
2000	16	1	69	2	5	 0.88000E+00
2000	16	1	69	2	4	 0.88000E+00
2000	17	1	15	1	3	 0.88000E+00
2000	17	1	15	1	2	 0.88000E+00
2000	17	1	15	1	1	 0.88000E+00
2000	17	1	15	2	6	 0.88000E+00
2000	17	1	15	2	5	 0.88000E+00
2000	17	1	15	2	4	 0.88000E+00
2000	17	1	69	1	3	 0.88000E+00
2000	17	1	69	1	2	 0.88000E+00
2000	17	1	69	1	1	 0.88000E+00
2000	17	1	69	2	6	 0.88000E+00
2000	17	1	69	2	5	 0.88000E+00
2000	17	1	69	2	4	 0.88000E+00
2000	18	1	15	1	3	 0.88000E+00
2000	18	1	15	1	2	 0.88000E+00
2000	18	1	15	1	1	 0.88000E+00
2000	18	1	15	2	6	 0.88000E+00
2000	18	1	15	2	5	 0.88000E+00
2000	18	1	15	2	4	 0.88000E+00
2000	18	1	69	1	3	 0.88000E+00
2000	18	1	69	1	2	 0.88000E+00
2000	18	1	69	1	1	 0.88000E+00
2000	18	1	69	2	6	 0.88000E+00
2000	18	1	69	2	5	 0.88000E+00
2000	18	1	69	2	4	 0.88000E+00
2000	19	1	15	1	3	 0.88000E+00
2000	19	1	15	1	2	 0.88000E+00
2000	19	1	15	1	1	 0.88000E+00
2000	19	1	15	2	6	 0.88000E+00
2000	19	1	15	2	5	 0.88000E+00
2000	19	1	15	2	4	 0.88000E+00
2000	19	1	69	1	3	 0.88000E+00
2000	19	1	69	1	2	 0.88000E+00
2000	19	1	69	1	1	 0.88000E+00
2000	19	1	69	2	6	 0.88000E+00
2000	19	1	69	2	5	 0.88000E+00
2000	19	1	69	2	4	 0.88000E+00
2000	20	1	15	1	3	 0.88000E+00
2000	20	1	15	1	2	 0.88000E+00
2000	20	1	15	1	1	 0.88000E+00
2000	20	1	15	2	6	 0.88000E+00
2000	20	1	15	2	5	 0.88000E+00
2000	20	1	15	2	4	 0.88000E+00
2000	20	1	69	1	3	 0.88000E+00
2000	20	1	69	1	2	 0.88000E+00
2000	20	1	69	1	1	 0.88000E+00
2000	20	1	69	2	6	 0.88000E+00
2000	20	1	69	2	5	 0.88000E+00
2000	20	1	69	2	4	 0.88000E+00
2000	21	1	15	1	3	 0.88000E+00
2000	21	1	15	1	2	 0.88000E+00
2000	21	1	15	1	1	 0.88000E+00
2000	21	1	15	2	6	 0.88000E+00
2000	21	1	15	2	5	 0.88000E+00
2000	21	1	15	2	4	 0.88000E+00
2000	21	1	69	1	3	 0.88000E+00
2000	21	1	69	1	2	 0.88000E+00
2000	21	1	69	1	1	 0.88000E+00
2000	21	1	69	2	6	 0.88000E+00
2000	21	1	69	2	5	 0.88000E+00
