Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    69	  2000	     1	     1	     0.000	   218.688	      77585.7	          0.0	    36.000	   181.886	     0.000	   217.886	     0.020	   447.267	    10262579.0	    88605944.0	
    69	  2000	     2	     1	     0.000	   215.792	      42730.6	      92626.8	    36.000	   178.874	     0.000	   214.874	     0.020	   447.284	    10273149.0	    88733424.0	
    69	  2000	     3	     1	     0.000	   208.061	      58138.0	      82101.0	    36.000	   172.619	     0.000	   208.619	     0.020	   447.280	    10270999.0	    88707488.0	
    69	  2000	     4	     1	     0.000	   199.026	      50447.2	      78943.2	    36.000	   163.283	     0.000	   199.283	     0.020	   447.281	    10271375.0	    88712024.0	
    69	  2000	     5	     1	     0.000	   187.663	      43033.4	     179990.6	    36.000	   151.973	     0.000	   187.973	     0.020	   447.295	    10280365.0	    88820488.0	
    69	  2000	     6	     1	     0.000	   173.781	      43317.3	     148413.3	    36.000	   139.346	     0.000	   175.346	     0.020	   447.291	    10277724.0	    88788624.0	
    69	  2000	     7	     1	     0.000	   158.380	      50465.5	     164202.0	    36.000	   123.576	     0.000	   159.576	     0.020	   447.292	    10278440.0	    88797264.0	
    69	  2000	     8	     1	     0.000	   145.021	      48604.6	      34735.0	    36.000	   110.317	     0.000	   146.317	     0.020	   447.275	    10267862.0	    88669656.0	
    69	  2000	     9	     1	     0.000	   135.701	      58309.4	      12630.9	    36.000	    99.520	     0.000	   135.520	     0.020	   447.271	    10265225.0	    88637848.0	
    69	  2000	    10	     1	     0.000	   130.729	      65078.2	       2105.2	    36.000	    94.181	     0.000	   130.181	     0.020	   447.269	    10263790.0	    88620552.0	
    69	  2000	    11	     1	     0.000	   128.444	      61719.4	       4210.3	    36.000	    91.695	     0.000	   127.695	     0.020	   447.270	    10264244.0	    88626016.0	
    69	  2000	    12	     1	     0.000	   127.473	      57093.1	      11578.3	    36.000	    90.787	     0.000	   126.787	     0.020	   447.271	    10265239.0	    88638016.0	
    69	  2000	    13	     1	     0.000	   127.209	      68174.6	       3157.7	    36.000	    90.662	     0.000	   126.662	     0.020	   447.269	    10263622.0	    88618512.0	
    69	  2000	    14	     1	     0.000	   128.515	      68986.5	       7368.0	    36.000	    91.743	     0.000	   127.743	     0.020	   447.269	    10263904.0	    88621912.0	
    69	  2000	    15	     1	     0.000	   130.786	      66843.0	       2105.2	    36.000	    94.053	     0.000	   130.053	     0.020	   447.269	    10263645.0	    88618792.0	
    69	  2000	    16	     1	     0.000	   133.641	      66531.6	       4210.3	    36.000	    96.872	     0.000	   132.872	     0.020	   447.269	    10263845.0	    88621208.0	
    69	  2000	    17	     1	     0.000	   137.188	      60687.8	      46313.4	    36.000	   100.447	     0.000	   136.447	     0.020	   447.275	    10267820.0	    88669152.0	
    69	  2000	    18	     1	     0.000	   141.159	      52186.6	      87363.9	    36.000	   104.972	     0.000	   140.972	     0.020	   447.282	    10271929.0	    88718704.0	
    69	  2000	    19	     1	     0.000	   146.058	      23140.6	     178938.0	    36.000	   110.445	     0.000	   146.445	     0.020	   447.297	    10281926.0	    88839328.0	
    69	  2000	    20	     1	     0.000	   148.524	      59759.0	      13683.5	    36.000	   114.308	     0.000	   150.308	     0.020	   447.271	    10265192.0	    88637456.0	
    69	  2000	    21	     1	     0.000	   152.004	      66666.4	       1052.6	    36.000	   115.450	     0.000	   151.450	     0.020	   447.269	    10263572.0	    88617912.0	
    69	  2000	    22	     1	     0.000	   155.728	      65249.9	       2105.2	    36.000	   118.948	     0.000	   154.948	     0.020	   447.269	    10263777.0	    88620384.0	
    69	  2000	    23	     1	     0.000	   159.492	      63957.3	       3157.7	    36.000	   122.741	     0.000	   158.741	     0.020	   447.269	    10263971.0	    88622728.0	
    69	  2000	    24	     1	     0.000	   163.208	      63701.3	       9473.2	    36.000	   126.484	     0.000	   162.484	     0.020	   447.270	    10264516.0	    88629296.0	
    69	  2000	    25	     1	     0.000	   166.651	      63786.6	       4210.3	    36.000	   130.003	     0.000	   166.003	     0.020	   447.270	    10264072.0	    88623952.0	
    69	  2000	    26	     1	     0.000	   169.711	      65855.0	       6315.5	    36.000	   133.001	     0.000	   169.001	     0.020	   447.270	    10264076.0	    88623992.0	
    69	  2000	    27	     1	     0.000	   172.880	      60965.4	      17893.8	    36.000	   136.171	     0.000	   172.171	     0.020	   447.272	    10265441.0	    88640456.0	
    69	  2000	    28	     1	     0.000	   175.929	      55736.0	      86311.3	    36.000	   139.411	     0.000	   175.411	     0.020	   447.281	    10271547.0	    88714104.0	
    69	  2000	    29	     1	     0.000	   178.989	      47333.1	     145255.6	    36.000	   143.323	     0.000	   179.323	     0.020	   447.290	    10277129.0	    88781448.0	
    69	  2000	    30	     1	     0.000	   182.176	      33702.0	     148413.3	    36.000	   147.290	     0.000	   183.290	     0.020	   447.292	    10278521.0	    88798240.0	
    69	  2000	    31	     1	     0.000	   184.125	      48255.4	      26314.4	    36.000	   149.433	     0.000	   185.433	     0.020	   447.274	    10267193.0	    88661584.0	
