Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    15	  2000	     1	     1	     0.000	    88.320	      66188.3	      29472.1	    36.000	    52.456	     0.000	    88.456	     0.020	   447.272	    10265968.0	    88646808.0	
    15	  2000	     2	     1	     0.000	    80.449	      42231.7	     201042.2	    36.000	    44.004	     0.000	    80.004	     0.020	   447.297	    10282175.0	    88842336.0	
    15	  2000	     3	     1	     0.000	    78.352	      58866.3	      93679.3	    36.000	    44.170	     0.000	    80.170	     0.020	   447.282	    10271899.0	    88718344.0	
    15	  2000	     4	     1	     0.000	    81.299	      58324.2	      35787.6	    36.000	    45.682	     0.000	    81.682	     0.020	   447.274	    10267144.0	    88660992.0	
    15	  2000	     5	     1	     0.000	    84.986	      37296.1	     158939.1	    36.000	    48.706	     0.000	    84.706	     0.020	   447.293	    10279095.0	    88805168.0	
    15	  2000	     6	     1	     0.000	    87.771	      31942.2	     126309.2	    36.000	    53.159	     0.000	    89.159	     0.020	   447.289	    10276835.0	    88777896.0	
    15	  2000	     7	     1	     0.000	    90.314	      41891.1	      83153.6	    36.000	    55.386	     0.000	    91.386	     0.020	   447.282	    10272433.0	    88724792.0	
    15	  2000	     8	     1	     0.000	    93.322	      45083.1	     110520.6	    36.000	    57.779	     0.000	    93.779	     0.020	   447.285	    10274437.0	    88748968.0	
    15	  2000	     9	     1	     0.000	    96.927	      33938.5	      84206.1	    36.000	    61.664	     0.000	    97.664	     0.020	   447.284	    10273179.0	    88733792.0	
    15	  2000	    10	     1	     0.000	    99.770	      49089.7	      34735.0	    36.000	    64.331	     0.000	   100.331	     0.020	   447.275	    10267822.0	    88669176.0	
    15	  2000	    11	     1	     0.000	   102.835	      51751.6	      15788.7	    36.000	    66.649	     0.000	   102.649	     0.020	   447.273	    10266031.0	    88647568.0	
    15	  2000	    12	     1	     0.000	   105.526	      56882.3	      13683.5	    36.000	    69.089	     0.000	   105.089	     0.020	   447.272	    10265431.0	    88640328.0	
    15	  2000	    13	     1	     0.000	   107.979	      60358.1	      23156.7	    36.000	    71.459	     0.000	   107.459	     0.020	   447.272	    10265928.0	    88646328.0	
