Specification of terrain components
TC-ID	fraction	slope[%]	position[-]
1	0.5	1.35	3
2	0.25	0.92	2
3	0.25	2.33	1
4	0.5	2.37	3
5	0.25	4.58	2
6	0.25	5.59	1
