Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    69	  2000	     1	     1	     0.000	   100.919	      77585.7	          0.0	    36.000	    64.117	     0.000	   100.117	     0.020	   447.267	    10262579.0	    88605944.0	
    69	  2000	     2	     1	     0.000	   215.383	      42730.6	      92626.8	    36.000	   178.465	     0.000	   214.465	     0.020	   447.284	    10273149.0	    88733424.0	
    69	  2000	     3	     1	     0.000	   188.630	      58138.0	      82101.0	    36.000	   153.187	     0.000	   189.187	     0.020	   447.280	    10270999.0	    88707488.0	
    69	  2000	     4	     1	     0.000	   185.772	      50447.2	      78943.2	    36.000	   150.029	     0.000	   186.029	     0.020	   447.281	    10271375.0	    88712024.0	
    69	  2000	     5	     1	     0.000	   196.467	      43033.4	     179990.6	    36.000	   160.777	     0.000	   196.777	     0.020	   447.295	    10280365.0	    88820488.0	
    69	  2000	     6	     1	     0.000	   202.643	      43317.3	     148413.3	    36.000	   168.208	     0.000	   204.208	     0.020	   447.291	    10277724.0	    88788624.0	
    69	  2000	     7	     1	     0.000	   209.548	      50465.5	     164202.0	    36.000	   174.744	     0.000	   210.744	     0.020	   447.292	    10278440.0	    88797264.0	
    69	  2000	     8	     1	     0.000	   214.126	      48604.6	      34735.0	    36.000	   179.423	     0.000	   215.423	     0.020	   447.275	    10267862.0	    88669656.0	
    69	  2000	     9	     1	     0.000	   222.085	      58309.4	      12630.9	    36.000	   185.904	     0.000	   221.904	     0.020	   447.271	    10265225.0	    88637848.0	
    69	  2000	    10	     1	     0.000	   223.628	      65078.2	       2105.2	    36.000	   187.079	     0.000	   223.079	     0.020	   447.269	    10263790.0	    88620552.0	
    69	  2000	    11	     1	     0.000	   225.525	      61719.4	       4210.3	    36.000	   188.776	     0.000	   224.776	     0.020	   447.270	    10264244.0	    88626016.0	
    69	  2000	    12	     1	     0.000	   227.617	      57093.1	      11578.3	    36.000	   190.931	     0.000	   226.931	     0.020	   447.271	    10265239.0	    88638016.0	
    69	  2000	    13	     1	     0.000	   231.403	      68174.6	       3157.7	    36.000	   194.857	     0.000	   230.857	     0.020	   447.269	    10263622.0	    88618512.0	
    69	  2000	    14	     1	     0.000	   234.933	      68986.5	       7368.0	    36.000	   198.160	     0.000	   234.160	     0.020	   447.269	    10263904.0	    88621912.0	
    69	  2000	    15	     1	     0.000	   237.638	      66843.0	       2105.2	    36.000	   200.905	     0.000	   236.905	     0.020	   447.269	    10263645.0	    88618792.0	
    69	  2000	    16	     1	     0.000	   240.336	      66531.6	       4210.3	    36.000	   203.567	     0.000	   239.567	     0.020	   447.269	    10263845.0	    88621208.0	
    69	  2000	    17	     1	     0.000	   242.813	      60687.8	      46313.4	    36.000	   206.072	     0.000	   242.072	     0.020	   447.275	    10267820.0	    88669152.0	
    69	  2000	    18	     1	     0.000	   244.874	      52186.6	      87363.9	    36.000	   208.688	     0.000	   244.688	     0.020	   447.282	    10271929.0	    88718704.0	
