Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    15	  2000	     1	     1	     0.000	    78.981	      66188.3	      29472.1	    36.000	    43.117	     0.000	    79.117	     0.020	   447.272	    10265968.0	    88646808.0	
    15	  2000	     2	     1	     0.000	   148.000	      42231.7	     201042.2	    36.000	   111.555	     0.000	   147.555	     0.020	   447.297	    10282175.0	    88842336.0	
    15	  2000	     3	     1	     0.000	   117.741	      58866.3	      93679.3	    36.000	    83.559	     0.000	   119.559	     0.020	   447.282	    10271899.0	    88718344.0	
    15	  2000	     4	     1	     0.000	   122.865	      58324.2	      35787.6	    36.000	    87.247	     0.000	   123.247	     0.020	   447.274	    10267144.0	    88660992.0	
    15	  2000	     5	     1	     0.000	   126.084	      37296.1	     158939.1	    36.000	    89.803	     0.000	   125.803	     0.020	   447.293	    10279095.0	    88805168.0	
    15	  2000	     6	     1	     0.000	   133.593	      31942.2	     126309.2	    36.000	    98.981	     0.000	   134.981	     0.020	   447.289	    10276835.0	    88777896.0	
    15	  2000	     7	     1	     0.000	   134.724	      41891.1	      83153.6	    36.000	    99.796	     0.000	   135.796	     0.020	   447.282	    10272433.0	    88724792.0	
    15	  2000	     8	     1	     0.000	   140.464	      45083.1	     110520.6	    36.000	   104.922	     0.000	   140.922	     0.020	   447.285	    10274437.0	    88748968.0	
    15	  2000	     9	     1	     0.000	   143.835	      33938.5	      84206.1	    36.000	   108.573	     0.000	   144.573	     0.020	   447.284	    10273179.0	    88733792.0	
    15	  2000	    10	     1	     0.000	   143.956	      49089.7	      34735.0	    36.000	   108.517	     0.000	   144.517	     0.020	   447.275	    10267822.0	    88669176.0	
    15	  2000	    11	     1	     0.000	   144.469	      51751.6	      15788.7	    36.000	   108.283	     0.000	   144.283	     0.020	   447.273	    10266031.0	    88647568.0	
    15	  2000	    12	     1	     0.000	   145.586	      56882.3	      13683.5	    36.000	   109.150	     0.000	   145.150	     0.020	   447.272	    10265431.0	    88640328.0	
    15	  2000	    13	     1	     0.000	   148.203	      60358.1	      23156.7	    36.000	   111.683	     0.000	   147.683	     0.020	   447.272	    10265928.0	    88646328.0	
    15	  2000	    14	     1	     0.000	   150.059	      65168.0	      15788.7	    36.000	   113.609	     0.000	   149.609	     0.020	   447.271	    10264918.0	    88634152.0	
    15	  2000	    15	     1	     0.000	   151.820	      66152.2	       9473.2	    36.000	   115.228	     0.000	   151.228	     0.020	   447.270	    10264312.0	    88626848.0	
    15	  2000	    16	     1	     0.000	   153.501	      65215.4	       6315.5	    36.000	   116.825	     0.000	   152.825	     0.020	   447.270	    10264129.0	    88624632.0	
    15	  2000	    17	     1	     0.000	   155.073	      60710.0	      50523.7	    36.000	   118.371	     0.000	   154.371	     0.020	   447.276	    10268168.0	    88673344.0	
    15	  2000	    18	     1	     0.000	   156.908	      40321.5	     111573.1	    36.000	   120.770	     0.000	   156.770	     0.020	   447.286	    10274919.0	    88754776.0	
    15	  2000	    19	     1	     0.000	   158.905	      28190.1	      98942.2	    36.000	   123.710	     0.000	   159.710	     0.020	   447.286	    10274877.0	    88754280.0	
    15	  2000	    20	     1	     0.000	   160.847	      46033.5	      33682.5	    36.000	   125.646	     0.000	   161.646	     0.020	   447.276	    10267989.0	    88671176.0	
    15	  2000	    21	     1	     0.000	   162.349	      56269.6	      23156.7	    36.000	   126.186	     0.000	   162.186	     0.020	   447.273	    10266267.0	    88650416.0	
    15	  2000	    22	     1	     0.000	   163.793	      60768.5	       7368.0	    36.000	   127.390	     0.000	   163.390	     0.020	   447.270	    10264585.0	    88630128.0	
    15	  2000	    23	     1	     0.000	   165.113	      59940.3	       3157.7	    36.000	   128.475	     0.000	   164.475	     0.020	   447.270	    10264304.0	    88626744.0	
    15	  2000	    24	     1	     0.000	   166.273	      63622.2	       6315.5	    36.000	   129.596	     0.000	   165.596	     0.020	   447.270	    10264261.0	    88626224.0	
    15	  2000	    25	     1	     0.000	   167.283	      62841.9	      14736.1	    36.000	   130.600	     0.000	   166.600	     0.020	   447.271	    10265024.0	    88635424.0	
    15	  2000	    26	     1	     0.000	   168.175	      61684.0	      10525.8	    36.000	   131.598	     0.000	   167.598	     0.020	   447.271	    10264770.0	    88632368.0	
    15	  2000	    27	     1	     0.000	   168.955	      57701.2	      15788.7	    36.000	   132.343	     0.000	   168.343	     0.020	   447.272	    10265537.0	    88641616.0	
    15	  2000	    28	     1	     0.000	   169.827	      48432.5	      86311.3	    36.000	   133.322	     0.000	   169.322	     0.020	   447.282	    10272153.0	    88721408.0	
    15	  2000	    29	     1	     0.000	   173.062	      40821.1	     184200.9	    36.000	   137.481	     0.000	   173.481	     0.020	   447.295	    10280897.0	    88826904.0	
    15	  2000	    30	     1	     0.000	   172.482	      31334.3	     103152.5	    36.000	   138.121	     0.000	   174.121	     0.020	   447.286	    10274966.0	    88755344.0	
    15	  2000	    31	     1	     0.000	   174.182	      38006.4	     137887.5	    36.000	   138.993	     0.000	   174.993	     0.020	   447.290	    10277292.0	    88783408.0	
    15	  2000	    32	     1	     0.000	   175.835	      40939.1	      52628.8	    36.000	   140.971	     0.000	   176.971	     0.020	   447.279	    10269981.0	    88695216.0	
    15	  2000	    33	     1	     0.000	   177.329	      51416.9	      23156.7	    36.000	   141.444	     0.000	   177.444	     0.020	   447.274	    10266669.0	    88655264.0	
    15	  2000	    34	     1	     0.000	   178.680	      56921.5	      11578.3	    36.000	   142.333	     0.000	   178.333	     0.020	   447.271	    10265253.0	    88638184.0	
