Hourly total precipitation [mm] for each subasin, ordered according to Map-IDs
Date    Subbasin-ID.s
9022000	945	0.03	0.2
9022000	946	0.02	0.15
9022000	947	0.05	0.52
9022000	948	0.09	0.78
9022000	949	0.04	0.35
9022000	950	0.12	1.12
9022000	951	0.06	0.08
9022000	952	0.02	0.33
9022000	953	0.02	0.48
9022000	954	0.07	0.25
9022000	955	0.04	0.33
9022000	956	0.03	0.02
9022000	957	0.06	0.14
9022000	958	0.04	0.19
9022000	959	0.07	0.01
9022000	960	0.03	0.66
10022000	961	0	0.14
10022000	962	0.01	0.23
10022000	963	0.02	0.02
10022000	964	0.01	0.2
10022000	965	0	0.04
10022000	966	0.01	0.02
10022000	967	0.01	0.14
10022000	968	0.02	0.37
10022000	969	0.02	0.46
10022000	970	0.01	0.37
10022000	971	0.02	0.22
10022000	972	0.01	0.02
10022000	973	0	0.05
10022000	974	0.01	0.1
10022000	975	0	0.25
10022000	976	0	0.17
10022000	977	0.01	0.02
10022000	978	0	0.05
10022000	979	0	0.05
10022000	980	0.01	0.07
10022000	981	0	0.04
10022000	982	0.01	0.02
10022000	983	0.01	0.13
10022000	984	0.01	0.13
11022000	985	0	0.04
11022000	986	0.02	0.01
11022000	987	0.01	0.18
11022000	988	0.01	0
11022000	989	0.01	0
11022000	990	0.02	0.06
11022000	991	0.07	0.27
11022000	992	0.02	0.09
11022000	993	0.02	0.01
11022000	994	0.05	0.06
11022000	995	0.02	0.06
11022000	996	0	0.07
11022000	997	0	0.01
11022000	998	0.02	0.09
11022000	999	0.01	0.03
11022000	1000	0	0.03
11022000	1001	0.02	0.03
11022000	1002	0.01	0.05
11022000	1003	0.05	0.02
11022000	1004	0.01	0.26
11022000	1005	0	0
11022000	1006	0	0.09
11022000	1007	0.02	0.04
11022000	1008	0.02	0
12022000	1009	0.11	0.02
12022000	1010	0.01	0.03
12022000	1011	0.01	0.07
12022000	1012	0.17	0
12022000	1013	0	0.04
12022000	1014	0.06	0.1
12022000	1015	0.05	0.15
12022000	1016	0.11	0.06
12022000	1017	0.01	0.13
12022000	1018	0.04	0.01
12022000	1019	0.04	0.01
12022000	1020	0.02	0.05
12022000	1021	0.14	0.06
12022000	1022	0.01	0.01
12022000	1023	0.04	0.02
12022000	1024	0.01	0.05
12022000	1025	0.05	0.03
12022000	1026	0.04	0.15
12022000	1027	0.04	0.02
