Daily average radiation [W/m2]
Date	No. of days	Subbasin-ID.
21092000	265	307.6	303.5
22092000	266	307.5	308.6
23092000	267	310.1	307.4
24092000	268	286	294.7
25092000	269	273	261
26092000	270	245.1	240.9
27092000	271	211.3	210.1
28092000	272	209.3	196.8
29092000	273	285.6	287.5
30092000	274	278.1	260.6
01102000	275	270.9	236.5
02102000	276	221.6	179.8
03102000	277	259	253
04102000	278	261.3	249.6
05102000	279	260.8	253.3
06102000	280	269.3	264.2
07102000	281	183.5	179.1
08102000	282	276.6	276.9
09102000	283	304.4	291.4
10102000	284	326.8	313.9
11102000	285	332.6	330.5
12102000	286	334.7	333.3
13102000	287	332.7	333.9
14102000	288	338.2	336.1
15102000	289	322.3	312
16102000	290	328.8	326.8
17102000	291	327.9	318.6
18102000	292	336.8	330.4
19102000	293	311.6	313.9
20102000	294	307.6	292
21102000	295	298.3	287.6
22102000	296	293.3	303.8
23102000	297	285.9	289.4
24102000	298	305.1	305.9
25102000	299	297.9	302.7
26102000	300	307.3	292.9
27102000	301	309.5	315.9
28102000	302	290.7	275.5
29102000	303	273.8	250.8
30102000	304	160.2	132.5
31102000	305	162.3	184.8
01112000	306	132.8	160
02112000	307	214.5	234.2
03112000	308	260	252.6
04112000	309	224	170.2
05112000	310	75.8	111.8
06112000	311	94.2	103.8
07112000	312	154	172.4
08112000	313	114.6	140.8
09112000	314	187.9	156.4
10112000	315	226.2	201.6
11112000	316	188.5	192.3
12112000	317	207.8	218.5
13112000	318	223.7	230.7
14112000	319	206.6	187.2
15112000	320	170.5	183.1
16112000	321	125.1	135.4
17112000	322	301	218.5
18112000	323	328.9	290.9
19112000	324	313.4	314
20112000	325	309.1	261.8
21112000	326	303.7	292.8
22112000	327	325.1	332.4
23112000	328	335.4	317.9
24112000	329	297.5	324.2
25112000	330	285.9	278
26112000	331	267.9	276.1
27112000	332	245.7	217.4
28112000	333	223.5	212
29112000	334	239.8	237.3
30112000	335	259.3	237
01122000	336	237.8	227.1
02122000	337	212	208.3
03122000	338	176.9	199.8
04122000	339	237.4	236.3
05122000	340	147.4	200.2
06122000	341	172.1	181.4
07122000	342	154.1	168.3
08122000	343	192.1	166.8
09122000	344	266.2	242
10122000	345	278.8	251.6
11122000	346	139.5	153.5
12122000	347	144.7	174.9
13122000	348	168	163.9
14122000	349	167.1	161.8
15122000	350	166.9	120
16122000	351	187.6	158.9
17122000	352	82.4	121.4
18122000	353	125.4	179.1
19122000	354	190.4	193.1
20122000	355	171.8	196
21122000	356	199.9	201.4
22122000	357	137.9	185.1
23122000	358	307.9	264.3
24122000	359	298.1	289
25122000	360	326.3	293.2
26122000	361	322.8	305.3
27122000	362	313.9	305.3
28122000	363	311.2	295
29122000	364	302.2	310.4
30122000	365	241	240.2
31122000	366	197.1	197.1
01012001	1	132.3	132.5
02012001	2	107.9	76.5
03012001	3	190.3	160.4
04012001	4	167.6	153.6
05012001	5	285.2	253.2
06012001	6	291.7	270.3
07012001	7	316.4	283.5
08012001	8	297	286.7
09012001	9	291.2	276.7
10012001	10	264.6	265.5
11012001	11	290.6	278.4
12012001	12	300.3	315.6
13012001	13	301.6	308.1
14012001	14	326.7	320.3
15012001	15	338.7	338.1
16012001	16	304.9	319.1
17012001	17	268.7	235.1
18012001	18	301.5	296
19012001	19	300.7	299.9
20012001	20	163.1	169.5
21012001	21	181.5	201.9
22012001	22	178.1	204.4
23012001	23	178.4	194.1
24012001	24	151.4	191.2
25012001	25	201.5	189.2
26012001	26	246.1	255.1
27012001	27	258.5	267.8
28012001	28	252.8	267.8
29012001	29	230.5	246.7
30012001	30	258	208.5
31012001	31	303.8	258.5
