# Specification of landscape units
LU.ID.id.	No._of_TC...	TC1.id.	TC2.id.	TC3.id.	kfsu.mm.d.	length.m.	meandep.mm.	maxdep.mm.	Riverbed.mm.	gwflag.0.1.	gw_dist.mm.	frgw_delay.day.
1	3	1	2	3	10	2161	-1	3000	2000	1	1000	186.79
2	3	4	5	6	10	1877.2	-1	3000	2000	1	1000	137.99
