Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    69	  2000	     1	     1	     0.000	    18.201	        433.5	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   416.365	       58526.5	       65090.7	
    69	  2000	     1	     2	     0.000	    19.934	        404.5	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   417.222	       99428.5	      136448.6	
    69	  2000	     1	     3	     0.000	    20.922	        752.3	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   417.836	      135856.9	      211015.2	
    69	  2000	     1	     4	     0.000	    22.162	        819.2	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   418.343	      170579.8	      289979.0	
    69	  2000	     1	     5	     0.000	    22.875	        834.1	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   418.777	      203684.7	      371493.8	
    69	  2000	     1	     6	     0.000	    21.573	        960.3	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   419.131	      232982.9	      448195.8	
    69	  2000	     1	     7	     0.000	    20.314	       1244.7	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   419.427	      259166.9	      520080.3	
    69	  2000	     1	     8	     0.000	    19.355	       1309.5	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   419.685	      283129.5	      588449.9	
    69	  2000	     1	     9	     0.000	    18.404	       1693.0	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   419.910	      305039.2	      653009.8	
    69	  2000	     1	    10	     0.000	    17.618	       2015.4	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.111	      325315.0	      714420.5	
    69	  2000	     1	    11	     0.000	    17.031	       2023.4	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.295	      344424.5	      773707.4	
    69	  2000	     1	    12	     0.000	    16.459	       1969.6	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.463	      362496.2	      830989.6	
    69	  2000	     1	    13	     0.000	    15.666	       2460.9	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.615	      379191.3	      884925.9	
    69	  2000	     1	    14	     0.000	    14.996	       2592.9	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.754	      394831.6	      936317.1	
    69	  2000	     1	    15	     0.000	    14.375	       2605.8	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   420.882	      409561.5	      985461.5	
    69	  2000	     1	    16	     0.000	    13.772	       2681.4	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.000	      423424.2	     1032358.2	
    69	  2000	     1	    17	     0.000	    13.300	       2521.9	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.112	      436662.5	     1077715.0	
    69	  2000	     1	    18	     0.000	    12.950	       2231.6	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.217	      449466.1	     1122104.5	
    69	  2000	     1	    19	     0.000	    12.888	       1017.2	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.323	      462407.6	     1167484.9	
    69	  2000	     1	    20	     0.000	    12.100	       2695.0	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.415	      473940.1	     1208351.2	
    69	  2000	     1	    21	     0.000	    11.672	       3076.1	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.502	      484826.9	     1247294.0	
    69	  2000	     1	    22	     0.000	    11.366	       3075.7	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.584	      495313.9	     1285135.6	
    69	  2000	     1	    23	     0.000	    11.084	       3076.3	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.662	      505435.8	     1321962.8	
    69	  2000	     1	    24	     0.000	    10.783	       3122.9	          0.0	     0.000	     0.000	     0.000	     0.000	     0.000	   421.737	      515170.2	     1357657.0	
    69	  2000	     2	     1	     0.000	    10.455	       3183.7	        252.2	     0.000	     0.000	     0.000	     0.000	     0.000	   421.808	      524566.1	     1392364.4	
    69	  2000	     2	     2	     0.000	    10.095	       3343.1	      11413.4	     0.000	     0.000	     0.000	     0.000	     0.000	   421.897	      536492.6	     1436776.2	
    69	  2000	     2	     3	     0.000	     9.799	       3161.8	       6550.7	     0.000	     0.000	     0.000	     0.000	     0.000	   421.974	      546790.4	     1475440.1	
    69	  2000	     2	     4	     0.000	     9.504	       2943.3	       6003.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.046	      556646.1	     1512715.1	
    69	  2000	     2	     5	     0.000	     9.258	       2542.5	        814.2	     0.000	     0.000	     0.000	     0.000	     0.000	   422.107	      564947.0	     1544313.8	
    69	  2000	     2	     6	     0.000	     9.107	       1836.3	       7845.6	     0.000	     0.000	     0.000	     0.000	     0.000	   422.180	      575072.8	     1583109.1	
    69	  2000	     2	     7	     0.000	     8.763	       2673.9	      11478.5	     0.000	     0.000	     0.000	     0.000	     0.000	   422.255	      585530.4	     1623460.9	
    69	  2000	     2	     8	     0.000	     8.609	       2904.1	       2279.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.310	      593351.8	     1653828.5	
    69	  2000	     2	     9	     0.000	     8.510	       3235.8	       1298.6	     0.000	     0.000	     0.000	     0.000	     0.000	   422.362	      600705.9	     1682527.1	
    69	  2000	     2	    10	     0.000	     8.426	       3714.1	        292.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.410	      607570.1	     1709439.6	
    69	  2000	     2	    11	     0.000	     8.371	       3961.0	       8711.5	     0.000	     0.000	     0.000	     0.000	     0.000	   422.472	      616422.8	     1744327.0	
    69	  2000	     2	    12	     0.000	     8.325	       3895.5	       5690.8	     0.000	     0.000	     0.000	     0.000	     0.000	   422.527	      624439.9	     1776093.6	
    69	  2000	     2	    13	     0.000	     8.235	       3823.2	      13042.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.594	      634193.3	     1814958.8	
    69	  2000	     2	    14	     0.000	     8.251	       2835.0	       4465.6	     0.000	     0.000	     0.000	     0.000	     0.000	   422.647	      642013.6	     1846292.1	
    69	  2000	     2	    15	     0.000	     8.188	       2178.4	       2181.8	     0.000	     0.000	     0.000	     0.000	     0.000	   422.696	      649337.1	     1875773.2	
    69	  2000	     2	    16	     0.000	     8.135	       1480.6	       9297.2	     0.000	     0.000	     0.000	     0.000	     0.000	   422.758	      658507.2	     1912874.1	
    69	  2000	     2	    17	     0.000	     8.092	       1097.4	       3994.0	     0.000	     0.000	     0.000	     0.000	     0.000	   422.811	      666382.8	     1944901.5	
    69	  2000	     2	    18	     0.000	     8.051	       1639.1	       6142.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.865	      674577.7	     1978387.2	
    69	  2000	     2	    19	     0.000	     8.215	       2146.6	        818.1	     0.000	     0.000	     0.000	     0.000	     0.000	   422.910	      681459.8	     2006633.8	
    69	  2000	     2	    20	     0.000	     8.781	       1589.4	      11908.2	     0.000	     0.000	     0.000	     0.000	     0.000	   422.977	      691625.8	     2048565.6	
    69	  2000	     2	    21	     0.000	     9.529	       1816.3	        336.0	     0.000	     0.000	     0.000	     0.000	     0.000	   423.028	      699542.8	     2081391.1	
    69	  2000	     2	    22	     0.000	    10.344	       3349.4	       4080.9	     0.000	     0.000	     0.000	     0.000	     0.000	   423.087	      708656.8	     2119361.8	
