total sediment production [t] for all sub-basins (MAP-IDs) and particle classes{ 3}
Year	Day 	15:1	15:2	15:3	69:1	69:2	69:3
2000	277	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	278	    0.001	    0.001	    0.003	    0.001	    0.001	    0.003
2000	279	    0.002	    0.002	    0.005	 2896.000	 2296.535	 7531.114
2000	280	    0.002	    0.002	    0.005	    0.005	    0.004	    0.012
2000	281	    0.001	    0.001	    0.004	    0.007	    0.005	    0.018
2000	282	    0.002	    0.001	    0.005	    0.003	    0.003	    0.009
2000	283	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	284	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	285	    0.001	    0.000	    0.001	    0.001	    0.001	    0.004
2000	286	    0.000	    0.000	    0.001	    0.001	    0.000	    0.001
2000	287	    0.001	    0.000	    0.001	    0.003	    0.003	    0.008
2000	288	    0.001	    0.001	    0.002	    0.001	    0.001	    0.002
2000	289	    0.003	    0.002	    0.007	    0.004	    0.003	    0.010
2000	290	    0.003	    0.002	    0.007	    0.005	    0.004	    0.013
2000	291	    0.001	    0.001	    0.002	    0.000	    0.000	    0.000
2000	292	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	293	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	294	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	295	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	296	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	297	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	298	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	299	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	300	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	301	    0.002	    0.002	    0.006	    0.001	    0.001	    0.003
2000	302	    0.001	    0.001	    0.003	    0.001	    0.000	    0.002
2000	303	    0.000	    0.000	    0.000	    0.000	    0.000	    0.000
2000	304	    0.000	    0.000	    0.001	    0.000	    0.000	    0.000
2000	305	    0.000	    0.000	    0.001	    0.001	    0.000	    0.002
2000	306	    0.001	    0.001	    0.003	    0.002	    0.001	    0.005
2000	307	    0.001	    0.001	    0.003	    0.004	    0.003	    0.010
