Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    15	  2000	     1	     1	     0.000	   100.116	      66188.3	      29472.1	    36.000	    64.252	     0.000	   100.252	     0.020	   447.272	    10265968.0	    88646808.0	
    15	  2000	     2	     1	     0.000	   103.625	      42231.7	     201042.2	    36.000	    67.180	     0.000	   103.180	     0.020	   447.297	    10282175.0	    88842336.0	
    15	  2000	     3	     1	     0.000	   106.572	      58866.3	      93679.3	    36.000	    72.390	     0.000	   108.390	     0.020	   447.282	    10271899.0	    88718344.0	
    15	  2000	     4	     1	     0.000	   110.291	      58324.2	      35787.6	    36.000	    74.674	     0.000	   110.674	     0.020	   447.274	    10267144.0	    88660992.0	
    15	  2000	     5	     1	     0.000	   114.481	      37296.1	     158939.1	    36.000	    78.200	     0.000	   114.200	     0.020	   447.293	    10279095.0	    88805168.0	
    15	  2000	     6	     1	     0.000	   117.498	      31942.2	     126309.2	    36.000	    82.886	     0.000	   118.886	     0.020	   447.289	    10276835.0	    88777896.0	
    15	  2000	     7	     1	     0.000	   120.216	      41891.1	      83153.6	    36.000	    85.288	     0.000	   121.288	     0.020	   447.282	    10272433.0	    88724792.0	
    15	  2000	     8	     1	     0.000	   123.435	      45083.1	     110520.6	    36.000	    87.893	     0.000	   123.893	     0.020	   447.285	    10274437.0	    88748968.0	
    15	  2000	     9	     1	     0.000	   127.235	      33938.5	      84206.1	    36.000	    91.972	     0.000	   127.972	     0.020	   447.284	    10273179.0	    88733792.0	
    15	  2000	    10	     1	     0.000	   130.083	      49089.7	      34735.0	    36.000	    94.644	     0.000	   130.644	     0.020	   447.275	    10267822.0	    88669176.0	
    15	  2000	    11	     1	     0.000	   133.148	      51751.6	      15788.7	    36.000	    96.962	     0.000	   132.962	     0.020	   447.273	    10266031.0	    88647568.0	
    15	  2000	    12	     1	     0.000	   135.756	      56882.3	      13683.5	    36.000	    99.320	     0.000	   135.320	     0.020	   447.272	    10265431.0	    88640328.0	
