Subasin-ID	year	day	hour	qlateral(m**3/s)	inflow(m**3/s)	evap(m**3)	prec(m**3)	intake(m**3/s)	overflow(m**3/s)	qbottom(m**3/s)	qout(m**3/s)	withdrawal(m**3/s)	elevation(m)	area(m**2)	volume(m**3)
    69	  2000	     1	     1	     0.000	   139.860	      77585.7	          0.0	    36.000	   103.059	     0.000	   139.059	     0.020	   447.267	    10262579.0	    88605944.0	
    69	  2000	     2	     1	     0.000	   143.204	      42730.6	      92626.8	    36.000	   106.286	     0.000	   142.286	     0.020	   447.284	    10273149.0	    88733424.0	
    69	  2000	     3	     1	     0.000	   144.828	      58138.0	      82101.0	    36.000	   109.385	     0.000	   145.385	     0.020	   447.280	    10270999.0	    88707488.0	
    69	  2000	     4	     1	     0.000	   147.515	      50447.2	      78943.2	    36.000	   111.773	     0.000	   147.773	     0.020	   447.281	    10271375.0	    88712024.0	
    69	  2000	     5	     1	     0.000	   150.312	      43033.4	     179990.6	    36.000	   114.621	     0.000	   150.621	     0.020	   447.295	    10280365.0	    88820488.0	
    69	  2000	     6	     1	     0.000	   152.814	      43317.3	     148413.3	    36.000	   118.379	     0.000	   154.379	     0.020	   447.291	    10277724.0	    88788624.0	
    69	  2000	     7	     1	     0.000	   155.573	      50465.5	     164202.0	    36.000	   120.770	     0.000	   156.770	     0.020	   447.292	    10278440.0	    88797264.0	
    69	  2000	     8	     1	     0.000	   159.430	      48604.6	      34735.0	    36.000	   124.726	     0.000	   160.726	     0.020	   447.275	    10267862.0	    88669656.0	
    69	  2000	     9	     1	     0.000	   163.080	      58309.4	      12630.9	    36.000	   126.899	     0.000	   162.899	     0.020	   447.271	    10265225.0	    88637848.0	
    69	  2000	    10	     1	     0.000	   167.181	      65078.2	       2105.2	    36.000	   130.632	     0.000	   166.632	     0.020	   447.269	    10263790.0	    88620552.0	
    69	  2000	    11	     1	     0.000	   172.048	      61719.4	       4210.3	    36.000	   135.299	     0.000	   171.299	     0.020	   447.270	    10264244.0	    88626016.0	
    69	  2000	    12	     1	     0.000	   177.026	      57093.1	      11578.3	    36.000	   140.340	     0.000	   176.340	     0.020	   447.271	    10265239.0	    88638016.0	
    69	  2000	    13	     1	     0.000	   181.434	      68174.6	       3157.7	    36.000	   144.887	     0.000	   180.887	     0.020	   447.269	    10263622.0	    88618512.0	
    69	  2000	    14	     1	     0.000	   186.418	      68986.5	       7368.0	    36.000	   149.646	     0.000	   185.646	     0.020	   447.269	    10263904.0	    88621912.0	
    69	  2000	    15	     1	     0.000	   191.461	      66843.0	       2105.2	    36.000	   154.728	     0.000	   190.728	     0.020	   447.269	    10263645.0	    88618792.0	
    69	  2000	    16	     1	     0.000	   196.291	      66531.6	       4210.3	    36.000	   159.522	     0.000	   195.522	     0.020	   447.269	    10263845.0	    88621208.0	
    69	  2000	    17	     1	     0.000	   201.211	      60687.8	      46313.4	    36.000	   164.470	     0.000	   200.470	     0.020	   447.275	    10267820.0	    88669152.0	
    69	  2000	    18	     1	     0.000	   206.078	      52186.6	      87363.9	    36.000	   169.891	     0.000	   205.891	     0.020	   447.282	    10271929.0	    88718704.0	
    69	  2000	    19	     1	     0.000	   211.684	      23140.6	     178938.0	    36.000	   176.071	     0.000	   212.071	     0.020	   447.297	    10281926.0	    88839328.0	
    69	  2000	    20	     1	     0.000	   214.179	      59759.0	      13683.5	    36.000	   179.962	     0.000	   215.962	     0.020	   447.271	    10265192.0	    88637456.0	
    69	  2000	    21	     1	     0.000	   217.817	      66666.4	       1052.6	    36.000	   181.264	     0.000	   217.264	     0.020	   447.269	    10263572.0	    88617912.0	
    69	  2000	    22	     1	     0.000	   221.711	      65249.9	       2105.2	    36.000	   184.932	     0.000	   220.932	     0.020	   447.269	    10263777.0	    88620384.0	
    69	  2000	    23	     1	     0.000	   225.621	      63957.3	       3157.7	    36.000	   188.870	     0.000	   224.870	     0.020	   447.269	    10263971.0	    88622728.0	
    69	  2000	    24	     1	     0.000	   229.450	      63701.3	       9473.2	    36.000	   192.727	     0.000	   228.727	     0.020	   447.270	    10264516.0	    88629296.0	
    69	  2000	    25	     1	     0.000	   232.968	      63786.6	       4210.3	    36.000	   196.320	     0.000	   232.320	     0.020	   447.270	    10264072.0	    88623952.0	
    69	  2000	    26	     1	     0.000	   236.063	      65855.0	       6315.5	    36.000	   199.353	     0.000	   235.353	     0.020	   447.270	    10264076.0	    88623992.0	
    69	  2000	    27	     1	     0.000	   239.298	      60965.4	      17893.8	    36.000	   202.589	     0.000	   238.589	     0.020	   447.272	    10265441.0	    88640456.0	
    69	  2000	    28	     1	     0.000	   242.400	      55736.0	      86311.3	    36.000	   205.882	     0.000	   241.882	     0.020	   447.281	    10271547.0	    88714104.0	
    69	  2000	    29	     1	     0.000	   245.519	      47333.1	     145255.6	    36.000	   209.853	     0.000	   245.853	     0.020	   447.290	    10277129.0	    88781448.0	
    69	  2000	    30	     1	     0.000	   248.790	      33702.0	     148413.3	    36.000	   213.904	     0.000	   249.904	     0.020	   447.292	    10278521.0	    88798240.0	
    69	  2000	    31	     1	     0.000	   250.621	      48255.4	      26314.4	    36.000	   215.929	     0.000	   251.929	     0.020	   447.274	    10267193.0	    88661584.0	
    69	  2000	    32	     1	     0.000	   252.923	      51503.8	       8420.6	    36.000	   216.649	     0.000	   252.649	     0.020	   447.272	    10265440.0	    88640448.0	
    69	  2000	    33	     1	     0.000	   255.125	      56651.8	       5262.9	    36.000	   218.606	     0.000	   254.606	     0.020	   447.271	    10264751.0	    88632136.0	
    69	  2000	    34	     1	     0.000	   257.298	      64253.1	       2105.2	    36.000	   220.683	     0.000	   256.683	     0.020	   447.269	    10263860.0	    88621384.0	
    69	  2000	    35	     1	     0.000	   259.721	      67767.7	       3157.7	    36.000	   222.982	     0.000	   258.982	     0.020	   447.269	    10263655.0	    88618920.0	
    69	  2000	    36	     1	     0.000	   262.193	      65711.8	       2105.2	    36.000	   225.425	     0.000	   261.425	     0.020	   447.269	    10263738.0	    88619920.0	
    69	  2000	    37	     1	     0.000	   264.569	      63685.7	       1052.6	    36.000	   227.813	     0.000	   263.813	     0.020	   447.269	    10263819.0	    88620896.0	
    69	  2000	    38	     1	     0.000	   267.448	      46508.9	      49471.1	    36.000	   230.703	     0.000	   266.703	     0.020	   447.277	    10269258.0	    88686488.0	
    69	  2000	    39	     1	     0.000	   269.889	      35312.1	      70522.6	    36.000	   233.903	     0.000	   269.903	     0.020	   447.282	    10271932.0	    88718736.0	
    69	  2000	    40	     1	     0.000	   272.301	      23735.3	     205252.5	    36.000	   236.689	     0.000	   272.689	     0.020	   447.300	    10284057.0	    88865048.0	
    69	  2000	    41	     1	     0.000	   274.835	      17352.4	     237882.3	    36.000	   240.916	     0.000	   276.916	     0.020	   447.305	    10287289.0	    88904056.0	
    69	  2000	    42	     1	     0.000	   277.392	      25617.0	     232619.5	    36.000	   243.924	     0.000	   279.924	     0.020	   447.304	    10286169.0	    88890528.0	
